label,x,y,z,status
Fp1,-29.4367,83.9171,-6.9900,blocked
Fp2,29.8723,84.8959,-7.0800,blocked
AF7,-54.8397,68.5722,-10.5900,blocked
AF3,-33.7007,76.8371,21.2270,blocked
AFz,0.2313,80.7710,35.4170,blocked
AF4,35.7123,77.7259,21.9560,blocked
AF8,55.7433,69.6568,-10.7550,blocked
F7,-70.2629,42.4743,-11.4200,blocked
F5,-64.4658,48.0353,16.9210,blocked
F3,-50.2438,53.1112,42.1920,blocked
F1,-27.4958,56.9311,60.3420,blocked
Fz,0.3122,58.5120,66.4620,blocked
F2,29.5142,57.6019,59.5400,blocked
F4,51.8362,54.3048,40.8140,blocked
F6,67.9142,49.8297,16.3670,blocked
F8,73.0431,44.4217,-12.0000,blocked
FT9,-84.0759,14.5673,-50.4290,blocked
FT7,-80.7750,14.1203,-11.1350,blocked
FC5,-77.2149,18.6433,24.4600,blocked
FC3,-60.1819,22.7162,55.5440,blocked
FC1,-34.0619,26.0111,79.9870,blocked
FCz,0.3761,27.3900,88.6680,blocked
FC2,34.7841,26.4379,78.8080,blocked
FC4,62.2931,23.7228,55.6300,blocked
FC6,79.5341,19.9357,24.4380,blocked
FT8,81.8151,15.4167,-11.3300,blocked
FT10,84.1131,14.3647,-50.5380,blocked
T7,-84.1611,-16.0187,-9.3460,blocked
C5,-80.2801,-13.7597,29.1600,blocked
C3,-65.3581,-11.6317,64.3580,blocked
C1,-36.1580,-9.9839,89.7520,blocked
Cz,0.4009,-9.1670,100.2440,blocked
C2,37.6720,-9.6241,88.4120,blocked
C4,67.1179,-10.9003,63.5800,blocked
C6,83.4559,-12.7763,29.2080,blocked
T8,85.0799,-15.0203,-9.4900,blocked
TP9,-85.6192,-46.5147,-45.7070,blocked
TP7,-84.8302,-46.0217,-7.0560,blocked
CP5,-79.5922,-46.5507,30.9490,blocked
CP3,-63.5562,-47.0088,65.6240,blocked
CP1,-35.5131,-47.2919,91.3150,blocked
CPz,0.3858,-47.3180,99.4320,blocked
CP2,38.3838,-47.0731,90.6950,blocked
CP4,66.6118,-46.6372,65.5800,blocked
CP6,83.3218,-46.1013,31.2060,blocked
TP8,85.5488,-45.5453,-7.1300,blocked
TP10,86.1618,-47.0353,-45.8690,blocked
P7,-72.4343,-73.4527,-2.4870,blocked
P5,-67.2723,-76.2907,28.3820,blocked
P3,-53.0073,-78.7878,55.9400,blocked
P1,-28.6203,-80.5249,75.4360,blocked
Pz,0.3247,-81.1150,82.6150,blocked
P2,31.9197,-80.4871,76.7160,blocked
P4,55.6667,-78.5602,56.5610,blocked
P6,67.8877,-75.9043,28.0910,blocked
P8,73.0557,-73.0683,-2.5400,blocked
PO7,-54.8404,-97.5279,2.7920,blocked
PO3,-36.5114,-100.8529,37.1670,blocked
POz,0.2156,-102.1780,50.6080,blocked
PO4,36.7816,-100.8491,36.3970,blocked
PO8,55.6666,-97.6251,2.7300,blocked
PO9,-54.9104,-98.0448,-35.4650,blocked
O1,-29.4134,-112.4490,8.8390,blocked
Oz,0.1076,-114.8920,14.6570,blocked
O2,29.8426,-112.1560,8.8000,blocked
PO10,54.9876,-98.0911,-35.5410,blocked
AFF5h,-50.7998,64.0412,23.0890,open
AFF1h,-11.4357,70.7561,50.3480,open
AFF2h,13.4793,71.2010,51.1750,open
AFF6h,52.3972,65.0708,22.8620,open
FFC5h,-65.2379,36.4282,36.1440,open
FFC3h,-44.4098,40.7622,61.6900,open
FFC1h,-15.4238,43.6600,77.6820,open
FFC2h,17.5922,44.0540,77.7880,open
FFC4h,45.8532,41.6228,60.6470,open
FFC6h,67.1281,37.7998,35.2960,open
FCC5h,-74.6920,4.3033,45.3070,open
FCC3h,-51.0509,7.1772,74.3770,open
FCC1h,-18.2190,9.0941,92.5290,open
FCC2h,18.7870,9.2479,91.5620,open
FCC4h,51.8851,7.7978,73.5070,open
FCC6h,77.0020,5.3357,45.3500,open
TTP7h,-85.5651,-30.6287,11.1530,open
CCP5h,-76.4071,-29.7307,49.2170,open
CCP3h,-52.9281,-28.9058,80.3040,open
CCP1h,-18.3541,-28.3219,98.2200,open
CCP2h,20.2199,-28.1481,98.1720,open
CCP4h,55.1139,-28.3862,80.4740,open
CCP6h,79.0059,-28.9863,49.6280,open
TTP8h,85.9999,-29.8203,11.2480,open
TPP9h,-78.1602,-60.7567,-23.8240,open
TPP7h,-76.6802,-60.8317,12.8800,open
CPP5h,-68.1152,-62.9747,47.2520,open
CPP3h,-46.9142,-64.6908,75.2960,open
CPP1h,-15.8202,-65.5999,91.1640,open
CPP2h,19.4198,-65.5950,92.4050,open
CPP4h,50.6738,-64.4822,76.1300,open
CPP6h,71.0958,-62.6243,47.3280,open
TPP8h,78.5198,-60.4323,12.9020,open
TPP10h,78.9027,-60.9553,-23.8050,open
P9,-73.0093,-73.7657,-40.9980,open
PPO9h,-64.5973,-87.6558,-19.0140,open
PPO5h,-54.0103,-89.8988,37.3320,open
PPO1h,-12.0474,-92.6069,65.5080,open
PPO2h,13.9226,-92.6940,66.9580,open
PPO6h,54.6087,-89.6402,37.0350,open
PPO10h,65.0137,-87.8062,-18.9520,open
P10,73.8947,-74.3903,-41.2200,open
POO9h,-42.8624,-108.0730,-13.1510,open
POO1,-13.6644,-109.2660,32.8560,open
POO2,13.6506,-109.1060,30.9360,open
POO10h,43.8946,-109.1270,-13.1700,open
